PROBEID,CHR,CHRLOC,SYMBOL
204746_s_at,chr22,38453262,PICK1
204747_at,chr10,91092239,IFIT3
204748_at,chr1,-186640944,PTGS2
204749_at,chrX,-92925925,NAP1L3
204750_s_at,chr18,-28645942,DSC2
204753_s_at,chr17,53342321,HLF
204759_at,chr13,-49063099,RCBTB2
204762_s_at,chr16,56225251,GNAO1
204765_at,chr7,144052489,ARHGEF5
204766_s_at,chr7,2281857,NUDT1
204767_s_at,chr11,61560109,FEN1
204769_s_at,chr6,-32793187,TAP2
204771_s_at,chr9,-135250937,TTF1
204773_at,chr9,34652182,IL11RA
204774_at,chr17,-29643428,EVI2A
204775_at,chr21,37757689,CHAF1B
204776_at,chr5,79331170,THBS4
204777_s_at,chr2,95691400,MAL
204780_s_at,chr10,90750288,FAS
204783_at,chr3,158288953,MLF1
204786_s_at,chr21,34602231,IFNAR2
204787_at,chrX,-65241580,VSIG4
204788_s_at,chr1,161136181,PPOX
204789_at,chr17,43299292,FMNL1
204790_at,chr18,-46446223,SMAD7
204791_at,chr12,-95414005,NR2C1
204794_at,chr2,-96808908,DUSP2
204795_at,chr6,1818118,PRR3
204797_s_at,chr14,100259745,EML1
204798_at,chr6,135502453,MYB
204802_at,chr16,-66955582,RRAD
204804_at,chr11,-4406127,TRIM21
204805_s_at,chr3,-129033614,H1FX
204807_at,chr12,64173637,TMEM5
204809_at,chr15,-65442784,CLPX
204810_s_at,chr19,-45809671,CKM
204811_s_at,chr3,-50400231,CACNA2D2
204812_at,chr11,-113603905,ZW10
204813_at,chr4,-86936276,MAPK10
204814_at,chr3,-62384021,CADPS
204818_at,chr16,82068858,HSD17B2
204819_at,chrX,-54471887,FGD1
204820_s_at,chr6,26440700,BTN3A3
204822_at,chr6,80714322,TTK
204824_at,chr9,131580779,ENDOG
204826_at,chr16,2479395,CCNF
204828_at,chr11,67159423,RAD9A
204829_s_at,chr11,71927819,FOLR2
204830_x_at,chr19,-43671895,PSG5
204831_at,chr13,26828756,CDK8
204834_at,chr7,-76822688,FGL2
204835_at,chrX,24712064,POLA1
204836_at,chr9,-6532464,GLDC
204838_s_at,chr14,-75480467,MLH3
204841_s_at,chr12,-93166285,EEA1
204844_at,chr4,111397229,ENPEP
204846_at,chr3,-148890290,CP
204847_at,chr3,-101368283,ZBTB11
204848_x_at,chr11,-5269502,HBG1
204849_at,chr20,-61472467,TCFL5
204850_s_at,chrX,-110537007,DCX
204852_s_at,chr1,-202116141,PTPN7
204853_at,chr2,-201774894,ORC2
204855_at,chr18,61144144,SERPINB5
204856_at,chr19,17905919,B3GNT3
204857_at,chr7,-1855428,MAD1L1
204858_s_at,chr22,-50964181,TYMP
204859_s_at,chr12,99039078,APAF1
204860_s_at,chr5,-70264310,NAIP
204862_s_at,chr16,-1820321,NME3
204864_s_at,chr5,-55230925,IL6ST
204865_at,chr8,86351056,CA3
204867_at,chr15,41056285,GCHFR
204868_at,chr17,73008780,ICT1
204869_at,chr20,17207597,PCSK2
204871_at,chr7,-91502021,MTERF1
204873_at,chr7,-92116337,PEX1
204875_s_at,chr6,-1624035,GMDS
204878_s_at,chr16,29985188,TAOK2
204880_at,chr10,131265454,MGMT
204881_s_at,chr9,114659206,UGCG
204884_s_at,chr7,-48002885,HUS1
204885_s_at,chr16,810765,MSLN
204887_s_at,chr4,128802016,PLK4
204888_s_at,chr10,105253735,NEURL1
204891_s_at,chr1,32739712,LCK
204892_x_at,chr6,-74225473,EEF1A1
204893_s_at,chr1,52608046,ZFYVE9
204894_s_at,chr17,41003201,AOC3
204897_at,chr5,40680032,PTGER4
204905_s_at,chr6,-8079628,EEF1E1
204906_at,chr6,-166822854,RPS6KA2
204908_s_at,chr19,45251978,BCL3
204909_at,chr11,-118618473,DDX6
204910_s_at,chr11,-6469843,TRIM3
204912_at,chr11,117857106,IL10RA
204915_s_at,chr2,5832799,SOX11
204916_at,chr2,238768187,RAMP1
204918_s_at,chr9,-20344968,MLLT3
204919_at,chr12,-10998448,PRR4
204920_at,chr2,211342406,CPS1
204921_at,chr16,90089008,GAS8
204924_at,chr4,154605441,TLR2
204928_s_at,chrX,-153715650,SLC10A3
204929_s_at,chr2,85811531,VAMP5
204931_at,chr6,134210260,TCF21
204932_at,chr8,-119935796,TNFRSF11B
204934_s_at,chr19,35531410,HPN
204936_at,chr11,-64556609,MAP4K2
204937_s_at,chr19,58694396,ZNF274
204940_at,chr6,118869442,PLN
204942_s_at,chr11,-67429633,ALDH3B2
204943_at,chr10,-127702902,ADAM12
204944_at,chr3,61547243,PTPRG
204945_at,chr2,-220154345,PTPRN
204949_at,chr19,-10444452,ICAM3
204951_at,chr4,40198527,RHOH
204952_at,chr19,-43964946,LYPD3
204954_s_at,chr19,-40315990,DYRK1B
204955_at,chrX,-38008588,SRPX
204956_at,chr9,21802635,MTAP
204957_at,chr7,-103766788,ORC5
204958_at,chr1,45266036,PLK3
204959_at,chr1,158801168,MNDA
204960_at,chr11,-67202981,PTPRCAP
204961_s_at,chr7,74188309,NCF1
204962_s_at,chr2,27008882,CENPA
204963_at,chr12,26348506,SSPN
204965_at,chr4,-72607411,GC
204966_at,chr1,-32192718,BAI2
204967_at,chrX,9754496,SHROOM2
204968_at,chr6,-2956873,C6orf47
204969_s_at,chr11,-110100166,RDX
204970_s_at,chr17,-79876145,MAFG
204971_at,chr3,122044011,CSTA
204972_at,chr12,113416274,OAS2
204973_at,chrX,70443056,GJB1
204974_at,chr19,-18307611,RAB3A
204975_at,chr16,-10622279,EMP2
204976_s_at,chrX,-109437414,AMMECR1
204977_at,chr11,108535816,DDX10
204978_at,chr19,45542298,CLASRP
204979_s_at,chr21,40817797,SH3BGR
204980_at,chr4,-56294068,CLOCK
204981_at,chr11,2923512,SLC22A18
204982_at,chr12,-110385867,GIT2
204983_s_at,chrX,-132435064,GPC4
204986_s_at,chr16,29985188,TAOK2
204987_at,chr10,7745236,ITIH2
204990_s_at,chr17,73717516,ITGB4
204991_s_at,chr22,29999545,NF2
204992_s_at,chr3,-149682691,PFN2
204993_at,chr22,23412669,GNAZ
204994_at,chr21,42733950,MX2
204995_at,chr17,30814105,CDK5R1
204998_s_at,chr19,50432400,ATF5
205000_at,chrY,15016019,DDX3Y
205004_at,chrX,-118722300,NKRF
205005_s_at,chr10,-15147771,NMT2
205007_s_at,chr15,-78396991,CIB2
205009_at,chr21,-43782391,TFF1
205011_at,chr11,123986111,VWA5A
205012_s_at,chr16,-1859104,HAGH
205013_s_at,chr22,24823530,ADORA2A
205014_at,chr4,-15937193,FGFBP1
205016_at,chr2,-70674412,TGFA
205018_s_at,chr13,97874550,MBNL2
205019_s_at,chr3,42544104,VIPR1
205020_s_at,chr7,12726452,ARL4A
205022_s_at,chr14,-89622516,FOXN3
205024_s_at,chr15,40987327,RAD51
205025_at,chr1,6640063,ZBTB48
205026_at,chr17,-40351195,STAT5B
205027_s_at,chr10,30722950,MAP3K8
205030_at,chr6,123100646,FABP7
205031_at,chr17,7608520,EFNB3
205032_at,chr5,52285156,ITGA2
205033_s_at,chr8,-6873391,DEFA1
205034_at,chr8,-95892453,CCNE2
205035_at,chr18,77439801,CTDP1
205036_at,chr4,147096835,LSM6
205037_at,chr22,-37168447,IFT27
205039_s_at,chr7,50344378,IKZF1
205041_s_at,chr9,117085303,ORM1
205042_at,chr9,-36214439,GNE
205043_at,chr7,117120017,CFTR
205044_at,chr5,170210723,GABRP
205046_at,chr4,-104026963,CENPE
205047_s_at,chr7,-97481429,ASNS
205048_s_at,chr7,,PSPHP1
205049_s_at,chr19,42381190,CD79A
205050_s_at,chr22,51039131,MAPK8IP2
205051_s_at,chr4,55524095,KIT
205052_at,chr9,-93976097,AUH
205053_at,chr12,-57125364,PRIM1
205054_at,chr2,-152341853,NEB
205055_at,chr17,-3617919,ITGAE
205056_s_at,chr12,6930963,GPR162
205059_s_at,chr4,980785,IDUA
205060_at,chr10,-51026325,PARG
205062_x_at,chr14,58765222,ARID4A
205063_at,chr14,39583488,GEMIN2
205064_at,chr1,153003679,SPRR1B
205066_s_at,chr6,132129156,ENPP1
205070_at,chr7,120590817,ING3
205072_s_at,chr5,82373317,XRCC4
205073_at,chr1,-60358980,CYP2J2
205074_at,chr5,131705401,SLC22A5
205075_at,chr17,1646130,SERPINF2
205076_s_at,chr1,-149900543,MTMR11
205079_s_at,chr9,-13105703,MPDZ
205080_at,chr3,25469754,RARB
205081_at,chr14,105953257,CRIP1
205084_at,chr7,107220422,BCAP29
205085_at,chr1,-52838501,ORC1
205088_at,chrX,149531551,MAMLD1
205089_at,chr8,146052903,ZNF7
205090_s_at,chr16,-5074845,NAGPA
205094_at,chr17,-33901814,PEX12
205097_at,chr5,149340300,SLC26A2
205098_at,chr3,-46243200,CCR1
205100_at,chr5,-179727700,GFPT2
205102_at,chr21,-42836478,TMPRSS2
205103_at,chr1,-156374055,C1orf61
205104_at,chr20,1246960,SNPH
205105_at,chr5,109025156,MAN2A1
205107_s_at,chr1,155036213,EFNA4
205108_s_at,chr2,-21224301,APOB
205110_s_at,chrX,-137713734,FGF13
205111_s_at,chr10,95848830,PLCE1
205113_at,chr8,24771274,NEFM
205114_s_at,chr17,-34415603,CCL3
205116_at,chr6,129204286,LAMA2
205117_at,chr5,-141971743,FGF1
205119_s_at,chr19,-52249026,FPR1
205120_s_at,chr4,-52886861,SGCB
205122_at,chr9,103235520,TMEFF1
205124_at,chr19,-19256376,MEF2BNB-MEF2B
205125_at,chr3,-38048987,PLCD1
205126_at,chr2,58273777,VRK2
205129_at,chr10,-103541082,NPM3
205130_at,chr14,-102695178,MOK
205131_x_at,chr19,51226605,CLEC11A
205132_at,chr15,-35080297,ACTC1
205133_s_at,chr2,198364721,HSPE1
205134_s_at,chr13,-45513384,NUFIP1
205139_s_at,chr6,149068271,UST
205140_at,chr1,74663896,FPGT
205141_at,chr14,21152336,ANG
205142_x_at,chrX,152990323,ABCD1
205143_at,chr19,19322782,NCAN
205145_s_at,chr4,671711,MYL5
205148_s_at,chrX,10124985,CLCN4
205152_at,chr3,11034420,SLC6A1
205154_at,chr1,-204586303,LRRN2
205155_s_at,chr11,-66452720,SPTBN2
205157_s_at,chr17,-39775692,KRT17
205158_at,chr14,21156932,RNASE4
205159_at,chr22,37309675,CSF2RB
205161_s_at,chr15,-90226287,PEX11A
205162_at,chr5,-60169659,ERCC8
205163_at,chr16,30386123,MYLPF
205166_at,chr11,76777992,CAPN5
205167_s_at,chr5,-137620959,CDC25C
205168_at,chr1,162602228,DDR2
205169_at,chr1,-205055270,RBBP5
205170_at,chr12,-56735382,STAT2
205171_at,chr2,120517207,PTPN4
205174_s_at,chr2,37571753,QPCT
205175_s_at,chr2,27309611,KHK
205176_s_at,chr1,-63906441,ITGB3BP
205177_at,chr1,-201372895,TNNI1
205178_s_at,chr16,24550908,RBBP6
205180_s_at,chr10,-135075920,ADAM8
205181_at,chr6,28193029,ZSCAN9
205182_s_at,chr19,58978412,ZNF324
205184_at,chr1,-235710985,GNG4
205185_at,chr5,147443535,SPINK5
205186_at,chr1,38022520,DNALI1
205187_at,chr5,135468536,SMAD5
205189_s_at,chr9,-97861336,FANCC
205190_at,chr3,142315229,PLS1
205191_at,chrX,46696347,RP2
205192_at,chr17,-43340488,MAP3K14
205194_at,chr7,-56078744,PSPH
205198_s_at,chrX,77166194,ATP7A
205199_at,chr9,35673915,CA9
205200_at,chr3,45067759,CLEC3B
205201_at,chr7,-42000548,GLI3
205202_at,chr6,150070831,PCMT1
205204_at,chr15,-85198360,NMB
205205_at,chr19,45504707,RELB
205206_at,chrX,-8496915,KAL1
205207_at,chr7,22766766,IL6
205208_at,chr3,-125822404,ALDH1L1
205210_at,chr2,-105883540,TGFBRAP1
205211_s_at,chr11,-66099542,RIN1
205214_at,chr2,-196998307,STK17B
205215_at,chr1,185014551,RNF2
205216_s_at,chr17,-64208147,APOH
205218_at,chr20,18448033,POLR3F
205219_s_at,chr15,49447976,GALK2
205220_at,chr12,-123199303,HCAR3
205222_at,chr3,-184908412,EHHADH
205224_at,chr9,136223421,SURF2
205225_at,chr6,152128814,ESR1
205226_at,chr8,17433942,PDGFRL
205227_at,chr3,190231840,IL1RAP
205229_s_at,chr14,31343741,COCH
205231_s_at,chr6,-145946440,EPM2A
205232_s_at,chr1,-26286258,PAFAH2
205234_at,chr1,-110905473,SLC16A4
205235_s_at,chr10,91461367,KIF20B
205236_x_at,chr4,24797085,SOD3
205237_at,chr9,-137801431,FCN1
205239_at,chr4,75480629,AREG
205240_at,chr1,109419603,GPSM2
205241_at,chr22,-50961997,SCO2
205242_at,chr4,78432907,CXCL13
205243_at,chr20,-45186462,SLC13A3
205245_at,chr16,67694851,PARD6A
205246_at,chr2,61244812,PEX13
205247_at,chr6,-32162620,NOTCH4
205248_at,chr21,37536839,DOPEY2
205249_at,chr10,-64571756,EGR2
205251_at,chr2,-239152679,PER2
205253_at,chr1,164528597,PBX1
205255_x_at,chr5,133451350,TCF7
205257_s_at,chr7,-38423297,AMPH
205258_at,chr2,121103719,INHBB
205259_at,chr4,-148999915,NR3C2
205260_s_at,chr14,-75519928,ACYP1
205261_at,chr6,-41704449,PGC
205263_at,chr1,-85731460,BCL10
205264_at,chr19,45909467,CD3EAP
205265_s_at,chr2,220325534,SPEG
205266_at,chr22,-30636436,LIF
205267_at,chr11,-111222981,POU2AF1
205269_at,chr5,-169675088,LCP2
205271_s_at,chr9,-90581359,CDK20
205272_s_at,chr12,-11033560,PRH1
205274_at,chr22,39101807,GTPBP1
205277_at,chr1,14075876,PRDM2
205278_at,chr2,171673200,GAD1
205279_s_at,chr4,157997555,GLRB
205281_s_at,chrX,-15337573,PIGA
205282_at,chr1,-53708041,LRP8
205283_at,chr9,108320411,FKTN
205286_at,chr20,55204358,TFAP2C
205288_at,chr1,100818023,CDC14A
205289_at,chr20,6748745,BMP2
205291_at,chr22,-37521880,IL2RB
205292_s_at,chr7,-26229556,HNRNPA2B1
205294_at,chr17,79008947,BAIAP2
205295_at,chr5,80529139,CKMT2
205296_at,chr20,-35631977,RBL1
205297_s_at,chr17,-62006098,CD79B
205298_s_at,chr6,26383329,BTN2A2
205300_s_at,chr12,123942651,SNRNP35
205302_at,chr7,45927959,IGFBP1
205304_s_at,chr12,-21917889,KCNJ8
205309_at,chr1,28261504,SMPDL3B
205311_at,chr7,-50526134,DDC
205312_at,chr11,-47376409,SPI1
205313_at,chr17,-36046434,HNF1B
205315_s_at,chr16,69221050,SNTB2
205317_s_at,chr3,121613171,SLC15A2
205318_at,chr12,57943847,KIF5A
205319_at,chr8,143761874,PSCA
205320_at,chr19,1450148,APC2
205321_at,chrX,24073065,EIF2S3
205323_s_at,chr1,-38275239,MTF1
205324_s_at,chrX,48334549,FTSJ1
205326_at,chr7,45197367,RAMP3
205327_s_at,chr2,148602570,ACVR2A
205328_at,chr13,96085853,CLDN10
205330_at,chr22,-28144265,MN1
205333_s_at,chr11,66610883,RCE1
205334_at,chr1,153600873,S100A1
205335_s_at,chr5,112196885,SRP19
205336_at,chr22,-37196745,PVALB
205338_s_at,chr13,-95091841,DCT
205339_at,chr1,-47715811,STIL
205341_at,chr19,48216601,EHD2
205345_at,chr2,-215593275,BARD1
205346_at,chr16,-70413338,ST3GAL2
205347_s_at,chrX,-101768610,TMSB15A
205348_s_at,chr7,95401818,DYNC1I1
205349_at,chr19,3136191,GNA15
205350_at,chr15,78632666,CRABP1
205351_at,chr2,-85771978,GGCX
205352_at,chr3,167453432,SERPINI1
205354_at,chr19,-1397810,GAMT
205355_at,chr10,124768429,ACADSB
205356_at,chr3,179370933,USP13
205357_s_at,chr3,148415658,AGTR1
205358_at,chr4,158141736,GRIA2
205359_at,chr14,32798479,AKAP6
205361_s_at,chr20,52824502,PFDN4
205363_at,chr11,27062509,BBOX1
205364_at,chr3,-58490863,ACOX2
205366_s_at,chr17,-46673099,HOXB6
205367_at,chr7,101928405,SH2B2
205371_s_at,chr1,-100652478,DBT
205372_at,chr8,-57073468,PLAG1
205373_at,chr2,79740060,CTNNA2
205374_at,chr11,-107578101,SLN
205375_at,chr6,41606195,MDFI
205376_at,chr4,-142949182,INPP4B
205377_s_at,chr7,-100487615,ACHE
205379_at,chr21,37507263,CBR3
205380_at,chr1,145727666,PDZK1
205381_at,chr7,102553344,LRRC17
205382_s_at,chr19,859665,CFD
205384_at,chr19,35629732,FXYD1
205386_s_at,chr12,69201971,MDM2
205387_s_at,chr19,-49526126,CGB
205388_at,chr20,-44451855,TNNC2
205392_s_at,chr17,-34310692,CCL14
205393_s_at,chr11,125496251,CHEK1
205395_s_at,chr11,-94150469,MRE11A
205396_at,chr15,67458493,SMAD3
205399_at,chr13,-36342789,DCLK1
205401_at,chr2,178257471,AGPS
205402_x_at,chr7,142479908,PRSS2
205403_at,chr2,102608306,IL1R2
205404_at,chr1,209878136,HSD11B1
205405_at,chr5,-9035138,SEMA5A
205406_s_at,chr11,124543740,SPA17
205407_at,chr9,36036910,RECK
205408_at,chr10,21823101,MLLT10
205409_at,chr2,28615779,FOSL2
205411_at,chr20,43595120,STK4
205412_at,chr11,107992258,ACAT1
205413_at,chr11,-30431618,MPPED2
205415_s_at,chr14,-92524896,ATXN3
205417_s_at,chr3,49507565,DAG1
205418_at,chr15,91427665,FES
205419_at,chr13,-99946789,GPR183
205420_at,chr6,137143702,PEX7
205421_at,chr6,160769405,SLC22A3
205422_s_at,chr13,102104966,ITGBL1
205423_at,chr22,-29723669,AP1B1
205425_at,chr7,-75162619,HIP1
205427_at,chr5,-178138522,ZNF354A
205428_s_at,chr16,71392616,CALB2
205429_s_at,chr7,24613085,MPP6
205431_s_at,chr6,-55620238,BMP5
205432_at,chr1,-111956937,OVGP1
205433_at,chr3,-165490692,BCHE
205437_at,chr19,58144535,ZNF211
205439_at,chr22,-24299601,GSTT2
205440_s_at,chr4,-164245117,NPY1R
205443_at,chr14,62229075,SNAPC1
205444_at,chr16,28889809,ATP2A1
205445_at,chr6,-22287473,PRL
205446_s_at,chr2,-175936978,ATF2
205450_at,chrX,-71798664,PHKA1
205451_at,chrX,70315999,FOXO4
205452_at,chr15,55611133,PIGB
205453_at,chr17,-46620019,HOXB2
205454_at,chr1,33352098,HPCA
205455_at,chr3,-49924436,MST1R
205456_at,chr11,118175295,CD3E
205458_at,chr16,89984287,MC1R
205461_at,chr12,-120532899,RAB35
205463_s_at,chr7,-536897,PDGFA
205464_at,chr16,23313591,SCNN1B
205466_s_at,chr4,-11399988,HS3ST1
205467_at,chr2,202047621,CASP10
205469_s_at,chr7,128578271,IRF5
205470_s_at,chr19,-51525487,KLK11
205471_s_at,chr13,-72012098,DACH1
205473_at,chr2,71162998,ATP6V1B1
205474_at,chr17,-29109702,CRLF3
205475_at,chr4,-174309299,SCRG1
205476_at,chr2,228678558,CCL20
205477_s_at,chr9,-116822408,AMBP
205478_at,chr12,-54973024,PPP1R1A
205479_s_at,chr10,75670862,PLAU
205480_s_at,chr2,64069014,UGP2
205482_x_at,chr11,64794880,SNX15
205483_s_at,chr1,948847,ISG15
205484_at,chr9,-35649297,SIT1
205485_at,chr19,38924340,RYR1
205486_at,chr1,-45809555,TESK2
205488_at,chr5,54398474,GZMA
205489_at,chr16,-21269839,CRYM
205493_s_at,chr10,134000414,DPYSL4
205497_at,chr19,52074531,ZNF175
205498_at,chr5,42423877,GHR
205499_at,chrX,99899163,SRPX2
205500_at,chr9,-123714614,C5
205501_at,chr6,-165740776,PDE10A
205502_at,chr10,-104590288,CYP17A1
205503_at,chr1,-214522039,PTPN14
205504_at,chrX,-100604435,BTK
205505_at,chr9,79074068,GCNT1
205506_at,chr2,219283838,VIL1
205508_at,chr19,35521592,SCN1B
205509_at,chr3,148545588,CPB1
205512_s_at,chrX,-129263338,AIFM1
205513_at,chr11,-59620281,TCN1
205515_at,chr4,-119201193,PRSS12
205517_at,chr8,11561717,GATA4
205518_s_at,chr6,-25108201,CMAHP
205520_at,chr2,-37064841,STRN
205521_at,chr3,38537763,EXOG
205522_at,chr2,177016113,HOXD4
205523_at,chr5,-82934017,HAPLN1
205525_at,chr7,134576151,CALD1
205526_s_at,chr6,-149916011,KATNA1
205529_s_at,chr8,-92967195,RUNX1T1
205530_at,chr4,159593277,ETFDH
205531_s_at,chr12,-56864736,GLS2
205536_at,chr9,-136627016,VAV2
205538_at,chr9,-100883257,CORO2A
205539_at,chr12,-58191160,AVIL
205540_s_at,chrX,55744110,RRAGB
205542_at,chr7,89783689,STEAP1
205543_at,chr4,128703453,HSPA4L
205544_s_at,chr1,207627645,CR2
205546_s_at,chr19,-10461204,TYK2
205547_s_at,chr11,117070040,TAGLN
205548_s_at,chr21,-18965968,BTG3
205549_at,chr21,41239347,PCP4
205550_s_at,chr2,28113482,BRE
205552_s_at,chr12,113344739,OAS1
205553_s_at,chr11,-19203577,CSRP3
205554_s_at,chr3,-58178353,DNASE1L3
205555_s_at,chr5,174151575,MSX2
205557_at,chr20,36932552,BPI
205558_at,chr11,-36505317,TRAF6
205559_s_at,chr9,78505560,PCSK5
205562_at,chr10,15139179,RPP38
205563_at,chr1,-204159469,KISS1
205565_s_at,chr9,71650479,FXN
205566_at,chr15,89631381,ABHD2
205567_at,chr11,-45669239,CHST1
205568_at,chr15,58430408,AQP9
205569_at,chr3,-182840003,LAMP3
205570_at,chr10,-22823766,PIP4K2A
205571_at,chr2,99771537,LIPT1
205573_s_at,chr1,99127236,SNX7
205575_at,chr17,-43037061,C1QL1
205576_at,chr22,21128383,SERPIND1
205577_at,chr11,-64513861,PYGM
205578_at,chr9,-94484878,ROR2
205579_at,chr3,11267669,HRH1
205581_s_at,chr7,150688144,NOS3
205582_s_at,chr22,-24615622,GGT5
205585_at,chr12,11802788,ETV6
205586_x_at,chr7,-100805790,VGF
205588_s_at,chr6,167412816,FGFR1OP
205589_at,chr3,-46899357,MYL3
205590_at,chr15,-38780302,RASGRP1
205591_at,chr9,137967089,OLFM1
205592_at,chr17,-42325758,SLC4A1
205593_s_at,chr21,44073862,PDE9A
205595_at,chr18,29027732,DSG3
205596_s_at,chr17,-62540735,SMURF2
205597_at,chr6,-3340717,SLC44A4
205598_at,chr3,-49866028,TRAIP
205599_at,chr9,-123664671,TRAF1
205601_s_at,chr17,-46668619,HOXB5
205602_x_at,chr19,-43428284,PSG7
205604_at,chr2,176987413,HOXD9
205610_at,chr18,-3066805,MYOM1
205611_at,chr17,7452375,TNFSF12
205612_at,chr4,90816052,MMRN1
205613_at,chr16,19179638,SYT17
205615_at,chr7,130020290,CPA1
205616_at,chr12,4918342,KCNA6
205617_at,chr19,50084587,PRRG2
205618_at,chrX,37208528,PRRG1
205619_s_at,chr17,-41717758,MEOX1
205620_at,chr13,113777113,F10
205621_at,chr14,-78138749,ALKBH1
205622_at,chr6,109761931,SMPD2
205623_at,chr17,-19641298,ALDH3A1
205624_at,chr3,148583043,CPA3
205626_s_at,chr8,-91070838,CALB1
205627_at,chr1,20915444,CDA
205628_at,chr6,57182422,PRIM2
205630_at,chr8,-67088612,CRH
205632_s_at,chr9,71320616,PIP5K1B
205633_s_at,chr3,52232099,ALAS1
205635_at,chr3,123813558,KALRN
205636_at,chr15,84116091,SH3GL3
205638_at,chr6,69345632,BAI3
205639_at,chr7,-36552549,AOAH
205642_at,chr9,123850574,CNTRL
205644_s_at,chr2,-70508506,SNRPG
205645_at,chrX,16964814,REPS2
205646_s_at,chr11,-31806340,PAX6
205647_at,chr12,-1021255,RAD52
205648_at,chr7,-116916686,WNT2
205650_s_at,chr4,-155504280,FGA
205651_x_at,chr2,173686315,RAPGEF4
205653_at,chr14,-25042724,CTSG
205654_at,chr1,207277607,C4BPA
205655_at,chr1,204485507,MDM4
205656_at,chr13,58205789,PCDH17
205657_at,chr2,-42994229,HAAO
205658_s_at,chr9,-139270029,SNAPC4
205659_at,chr7,18535369,HDAC9
205663_at,chr21,47269875,PCBP3
205664_at,chr10,-7792925,KIN
205665_at,chr12,3186521,TSPAN9
205666_at,chr1,171217663,FMO1
205667_at,chr8,30890778,WRN
205668_at,chr2,-160659868,LY75
205669_at,chr21,22370633,NCAM2
205670_at,chr22,-30950624,GAL3ST1
205671_s_at,chr6,-32780540,HLA-DOB
205672_at,chr9,-100437191,XPA
205675_at,chr4,100485240,MTTP
205676_at,chr12,-58156117,CYP27B1
205677_s_at,chr13,50656414,DLEU1
205678_at,chr15,-83328033,AP3B2
205680_at,chr11,-102641233,MMP10
205681_at,chr15,-80253232,BCL2A1
205683_x_at,chr16,1290678,TPSAB1
205686_s_at,chr3,121774209,CD86
205687_at,chr16,23568862,UBFD1
205688_at,chr16,-4307187,TFAP4
205690_s_at,chr7,99006601,BUD31
205691_at,chr16,2039946,SYNGR3
205692_s_at,chr4,15779931,CD38
205693_at,chr11,1940799,TNNT3
205694_at,chr9,12693386,TYRP1
205695_at,chr12,-113830251,SDS
205696_s_at,chr10,-117816442,GFRA1
205697_at,chr6,25652429,SCGN
205698_s_at,chr17,67410838,MAP2K6
205701_at,chr12,-30781915,IPO8
205707_at,chr22,17565851,IL17RA
205708_s_at,chr21,45773484,TRPM2
205709_s_at,chr4,85504057,CDS1
205710_at,chr2,-169983619,LRP2
205712_at,chr9,-8314246,PTPRD
205713_s_at,chr19,-18893583,COMP
205715_at,chr4,15704573,BST1
205716_at,chr7,-87463814,SLC25A40
205718_at,chr12,-53585107,ITGB7
205719_s_at,chr12,-103232104,PAH
205720_at,chr2,-25383722,POMC
205722_s_at,chr8,-21549530,GFRA2
205723_at,chr9,-34551430,CNTFR
205724_at,chr1,201252580,PKP1
205725_at,chr11,62186507,SCGB1A1
205726_at,chrX,95939662,DIAPH2
205727_at,chr14,-20833826,TEP1
205728_at,chrX,-123509756,TENM1
205729_at,chr5,38845960,OSMR
205733_at,chr15,91260579,BLM
205734_s_at,chr2,-100163716,AFF3
205736_at,chr7,-44102326,PGAM2
205737_at,chr20,-62037542,KCNQ2
205738_s_at,chr1,-31838100,FABP3
205739_x_at,chr7,64126511,ZNF107
205741_s_at,chr18,32398302,DTNA
205742_at,chr19,-55663136,TNNI3
205743_at,chr3,36422097,STAC
205744_at,chr16,-30016835,DOC2A
205746_s_at,chr2,-9629411,ADAM17
205747_at,chr16,-49311829,CBLN1
205749_at,chr15,-75011883,CYP1A1
205750_at,chr6,3118926,BPHL
205751_at,chr9,17578953,SH3GL2
205752_s_at,chr1,110254864,GSTM5
205754_at,chr11,46740743,F2
205755_at,chr3,52828784,ITIH3
205756_s_at,chrX,-154064064,F8
205757_at,chr14,-74433181,ENTPD5
205758_at,chr2,-87011728,CD8A
205759_s_at,chr19,49078993,SULT2B1
205760_s_at,chr3,9791628,OGG1
205761_s_at,chr7,107204402,DUS4L
205764_at,chr5,-148874845,CSNK1A1
205765_at,chr7,-99245813,CYP3A5
205766_at,chr17,37821599,TCAP
205767_at,chr4,75230860,EREG
205769_at,chr15,50474393,SLC27A2
205770_at,chr8,-30535580,GSR
205771_s_at,chr6,131571299,AKAP7
205774_at,chr5,-176829139,F12
205775_at,chr6,3849632,FAM50B
205776_at,chr1,-146657838,FMO5
205777_at,chrX,152907897,DUSP9
205778_at,chr19,-51479735,KLK7
205779_at,chr17,40913212,RAMP2
205780_at,chr22,43506754,BIK
205781_at,chr16,-89773541,VPS9D1
205782_at,chr15,49715375,FGF7
205784_x_at,chr22,-19957402,ARVCF
205786_s_at,chr16,31271288,ITGAM
205789_at,chr1,158149737,CD1D
205790_at,chr17,-46210802,SKAP1
205791_x_at,chr19,44507077,ZNF230
205792_at,chr20,43343885,WISP2
205794_s_at,chr14,-26915089,NOVA1
205795_at,chr14,78870093,NRXN3
205798_at,chr5,35856977,IL7R
205799_s_at,chr2,44502597,SLC3A1
205803_s_at,chr3,142443266,TRPC1
205805_s_at,chr1,64239690,ROR1
